GAME_DATE_EST,SEASON,HOME_TEAM_ID,VISITOR_TEAM_ID,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,target
2003-11-04,2003,1610612751,1610612745,0.3379999999999999,0.773,0.3329999999999999,21.0,35.0,0.53,0.647,0.5,17.0,44.0,0
2003-11-04,2003,1610612749,1610612747,0.4,0.867,0.474,22.0,52.0,0.46,0.61,0.421,25.0,48.0,0
2003-11-04,2003,1610612754,1610612743,0.355,0.7390000000000001,0.0,21.0,49.0,0.291,0.667,0.222,12.0,49.0,1
2003-11-04,2003,1610612759,1610612748,0.342,0.634,0.267,12.0,48.0,0.353,0.875,0.3329999999999999,8.0,44.0,1
2003-11-05,2003,1610612750,1610612758,0.515,0.722,0.444,32.0,46.0,0.5,0.857,0.643,29.0,41.0,0
2003-11-05,2003,1610612764,1610612742,0.4270000000000001,0.917,0.433,29.0,48.0,0.376,0.8,0.182,22.0,46.0,1
2003-11-05,2003,1610612752,1610612749,0.44,0.667,0.286,24.0,45.0,0.4679999999999999,0.818,0.385,21.0,38.0,0
2003-11-05,2003,1610612765,1610612738,0.413,0.688,0.444,19.0,45.0,0.473,0.941,0.154,23.0,40.0,1
2003-11-05,2003,1610612739,1610612743,0.379,0.677,0.222,19.0,56.0,0.4320000000000001,0.556,0.368,17.0,42.0,0
2003-11-05,2003,1610612744,1610612737,0.446,0.645,0.278,23.0,52.0,0.3670000000000001,0.5,0.3329999999999999,19.0,43.0,1
2003-11-05,2003,1610612762,1610612756,0.461,0.8,0.1,16.0,48.0,0.375,0.7140000000000001,0.313,13.0,35.0,1
2003-11-05,2003,1610612755,1610612740,0.407,0.833,0.235,25.0,44.0,0.451,0.917,0.433,23.0,51.0,0
2003-11-05,2003,1610612753,1610612741,0.46,0.7,0.4,21.0,36.0,0.542,0.92,0.455,21.0,33.0,0
2003-11-05,2003,1610612757,1610612763,0.462,0.826,0.5,20.0,50.0,0.407,0.737,0.4379999999999999,25.0,37.0,1
2003-11-06,2003,1610612751,1610612754,0.408,0.8240000000000001,0.7140000000000001,21.0,41.0,0.478,0.81,0.5,20.0,34.0,0
2003-11-06,2003,1610612761,1610612742,0.397,0.75,0.444,22.0,44.0,0.354,0.818,0.3329999999999999,20.0,44.0,1
2003-11-06,2003,1610612759,1610612747,0.407,0.818,0.467,19.0,47.0,0.435,0.622,0.214,19.0,66.0,0
2003-11-07,2003,1610612738,1610612751,0.444,0.857,0.214,20.0,43.0,0.424,0.7829999999999999,0.286,20.0,41.0,0
2003-11-07,2003,1610612764,1610612761,0.397,0.731,0.357,18.0,48.0,0.368,0.6,0.125,14.0,38.0,1
